"playlist_id","playlist_name","playlist_img","playlist_owner_name","playlist_owner_id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","analysis_url","time_signature","trackId","trackDuration_ms","trackHref","trackName","trackPopularity","trackUri","trackAlbumHref","trackAlbumId","trackAlbumName","trackAlbumUri","trackAlbumExternal_urlsSpotify","trackExternal_idsIsrc","trackExternal_urlsSpotify","key_name","mode_name","key_mode","trackArtistsHref","trackArtistsId","trackArtistsName","trackAlbumImage"
"4vd25aCytCegUd1KgYS2yt","Anger","https://mosaic.scdn.co/640/ab67616d00001e021a26654dcff68ca2241da9a5ab67616d00001e0229f643daad228ab538501826ab67616d00001e02df476ef7a07c35447fdb0bacab67616d00001e02f04d0d6f3ac09fd1cd99f4c1","정지운","31onwttehatiuqrdjmo2ynmdj5pi",0.542,0.889,10,-2.9,1,0.0291,0.0191,0.000313,0.0773,0.578,103.999,"https://api.spotify.com/v1/audio-analysis/00kbBKPcMWN7636XbdhhWu",4,"00kbBKPcMWN7636XbdhhWu",307713,"https://api.spotify.com/v1/tracks/00kbBKPcMWN7636XbdhhWu","Legendary",25,"spotify:track:00kbBKPcMWN7636XbdhhWu","https://api.spotify.com/v1/albums/0e9KCPvGyBlMcnqa5zskmb","0e9KCPvGyBlMcnqa5zskmb","Legendary","spotify:album:0e9KCPvGyBlMcnqa5zskmb","https://open.spotify.com/album/0e9KCPvGyBlMcnqa5zskmb","US5261217312","https://open.spotify.com/track/00kbBKPcMWN7636XbdhhWu","A#","major","A# major","https://api.spotify.com/v1/artists/0pwyD6DhbFWn8uVSz2Fr0w","0pwyD6DhbFWn8uVSz2Fr0w","The Summer Set","https://i.scdn.co/image/ab67616d0000b273ad3df226c1b4a1ad18e8cc4c, https://i.scdn.co/image/ab67616d00001e02ad3df226c1b4a1ad18e8cc4c, https://i.scdn.co/image/ab67616d00004851ad3df226c1b4a1ad18e8cc4c"
"4vd25aCytCegUd1KgYS2yt","Anger","https://mosaic.scdn.co/640/ab67616d00001e021a26654dcff68ca2241da9a5ab67616d00001e0229f643daad228ab538501826ab67616d00001e02df476ef7a07c35447fdb0bacab67616d00001e02f04d0d6f3ac09fd1cd99f4c1","정지운","31onwttehatiuqrdjmo2ynmdj5pi",0.538,0.981,1,-2.688,0,0.14,0.00662,0,0.219,0.711,101.414,"https://api.spotify.com/v1/audio-analysis/0EYOdF5FCkgOJJla8DI2Md",4,"0EYOdF5FCkgOJJla8DI2Md",255466,"https://api.spotify.com/v1/tracks/0EYOdF5FCkgOJJla8DI2Md","B.Y.O.B.",77,"spotify:track:0EYOdF5FCkgOJJla8DI2Md","https://api.spotify.com/v1/albums/0cn6MHyx4YuZauaB7Pb66o","0cn6MHyx4YuZauaB7Pb66o","Mezmerize","spotify:album:0cn6MHyx4YuZauaB7Pb66o","https://open.spotify.com/album/0cn6MHyx4YuZauaB7Pb66o","USSM10501327","https://open.spotify.com/track/0EYOdF5FCkgOJJla8DI2Md","C#","minor","C# minor","https://api.spotify.com/v1/artists/5eAWCfyUhZtHHtBdNk56l1","5eAWCfyUhZtHHtBdNk56l1","System Of A Down","https://i.scdn.co/image/ab67616d0000b273c65f8d04502eeddbdd61fa71, https://i.scdn.co/image/ab67616d00001e02c65f8d04502eeddbdd61fa71, https://i.scdn.co/image/ab67616d00004851c65f8d04502eeddbdd61fa71"
"4vd25aCytCegUd1KgYS2yt","Anger","https://mosaic.scdn.co/640/ab67616d00001e021a26654dcff68ca2241da9a5ab67616d00001e0229f643daad228ab538501826ab67616d00001e02df476ef7a07c35447fdb0bacab67616d00001e02f04d0d6f3ac09fd1cd99f4c1","정지운","31onwttehatiuqrdjmo2ynmdj5pi",0.534,0.87,11,-3.078,0,0.0425,0.000334,0,0.241,0.462,126.019,"https://api.spotify.com/v1/audio-analysis/0JiY190vktuhSGN6aqJdrt",4,"0JiY190vktuhSGN6aqJdrt",215160,"https://api.spotify.com/v1/tracks/0JiY190vktuhSGN6aqJdrt","So What",77,"spotify:track:0JiY190vktuhSGN6aqJdrt","https://api.spotify.com/v1/albums/1LOJfNDxQhbpssKx7oM7at","1LOJfNDxQhbpssKx7oM7at","Funhouse (Expanded Edition)","spotify:album:1LOJfNDxQhbpssKx7oM7at","https://open.spotify.com/album/1LOJfNDxQhbpssKx7oM7at","USLF20800067","https://open.spotify.com/track/0JiY190vktuhSGN6aqJdrt","B","minor","B minor","https://api.spotify.com/v1/artists/1KCSPY1glIKqW2TotWuXOR","1KCSPY1glIKqW2TotWuXOR","P!nk","https://i.scdn.co/image/ab67616d0000b2735a45d5041e4ffcb9f756f740, https://i.scdn.co/image/ab67616d00001e025a45d5041e4ffcb9f756f740, https://i.scdn.co/image/ab67616d000048515a45d5041e4ffcb9f756f740"
"4vd25aCytCegUd1KgYS2yt","Anger","https://mosaic.scdn.co/640/ab67616d00001e021a26654dcff68ca2241da9a5ab67616d00001e0229f643daad228ab538501826ab67616d00001e02df476ef7a07c35447fdb0bacab67616d00001e02f04d0d6f3ac09fd1cd99f4c1","정지운","31onwttehatiuqrdjmo2ynmdj5pi",0.57,0.747,4,-3.978,1,0.0426,0.445,0,0.219,0.808,164.004,"https://api.spotify.com/v1/audio-analysis/0KztjtD3ytzgYjUKIVfBnW",4,"0KztjtD3ytzgYjUKIVfBnW",237746,"https://api.spotify.com/v1/tracks/0KztjtD3ytzgYjUKIVfBnW","Mean",51,"spotify:track:0KztjtD3ytzgYjUKIVfBnW","https://api.spotify.com/v1/albums/6Ar2o9KCqcyYF9J0aQP3au","6Ar2o9KCqcyYF9J0aQP3au","Speak Now","spotify:album:6Ar2o9KCqcyYF9J0aQP3au","https://open.spotify.com/album/6Ar2o9KCqcyYF9J0aQP3au","USCJY1003660","https://open.spotify.com/track/0KztjtD3ytzgYjUKIVfBnW","E","major","E major","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","06HL4z0CvFAxyc27GXpf02","Taylor Swift","https://i.scdn.co/image/ab67616d0000b273d0eae3c1661a96570f0ca7bd, https://i.scdn.co/image/ab67616d00001e02d0eae3c1661a96570f0ca7bd, https://i.scdn.co/image/ab67616d00004851d0eae3c1661a96570f0ca7bd"
"4vd25aCytCegUd1KgYS2yt","Anger","https://mosaic.scdn.co/640/ab67616d00001e021a26654dcff68ca2241da9a5ab67616d00001e0229f643daad228ab538501826ab67616d00001e02df476ef7a07c35447fdb0bacab67616d00001e02f04d0d6f3ac09fd1cd99f4c1","정지운","31onwttehatiuqrdjmo2ynmdj5pi",0.563,0.86,8,-7.533,1,0.0621,0.00834,0.0106,0.39,0.517,97.867,"https://api.spotify.com/v1/audio-analysis/0UrWr7Jnu1heq1o99ZwUd0",4,"0UrWr7Jnu1heq1o99ZwUd0",256240,"https://api.spotify.com/v1/tracks/0UrWr7Jnu1heq1o99ZwUd0","Youth of the Nation",68,"spotify:track:0UrWr7Jnu1heq1o99ZwUd0","https://api.spotify.com/v1/albums/4eUmncMYQRg0Ot29KKqbuk","4eUmncMYQRg0Ot29KKqbuk","Satellite (U.S. Version)","spotify:album:4eUmncMYQRg0Ot29KKqbuk","https://open.spotify.com/album/4eUmncMYQRg0Ot29KKqbuk","USAT20106877","https://open.spotify.com/track/0UrWr7Jnu1heq1o99ZwUd0","G#","major","G# major","https://api.spotify.com/v1/artists/6KO6G41BBLTDNYOLefWTMU","6KO6G41BBLTDNYOLefWTMU","P.O.D.","https://i.scdn.co/image/ab67616d0000b27395741aa186187b05e0653245, https://i.scdn.co/image/ab67616d00001e0295741aa186187b05e0653245, https://i.scdn.co/image/ab67616d0000485195741aa186187b05e0653245"
"4vd25aCytCegUd1KgYS2yt","Anger","https://mosaic.scdn.co/640/ab67616d00001e021a26654dcff68ca2241da9a5ab67616d00001e0229f643daad228ab538501826ab67616d00001e02df476ef7a07c35447fdb0bacab67616d00001e02f04d0d6f3ac09fd1cd99f4c1","정지운","31onwttehatiuqrdjmo2ynmdj5pi",0.916,0.844,7,-3.967,1,0.236,0.0394,0,0.0778,0.586,95.19,"https://api.spotify.com/v1/audio-analysis/0Z2J91b2iTGLVTZC4fKgxf",4,"0Z2J91b2iTGLVTZC4fKgxf",312626,"https://api.spotify.com/v1/tracks/0Z2J91b2iTGLVTZC4fKgxf","Hit 'Em Up - Single Version",79,"spotify:track:0Z2J91b2iTGLVTZC4fKgxf","https://api.spotify.com/v1/albums/1WBZyULtlANBKed7Zf9cDP","1WBZyULtlANBKed7Zf9cDP","Greatest Hits","spotify:album:1WBZyULtlANBKed7Zf9cDP","https://open.spotify.com/album/1WBZyULtlANBKed7Zf9cDP","USUG10801475","https://open.spotify.com/track/0Z2J91b2iTGLVTZC4fKgxf","G","major","G major","https://api.spotify.com/v1/artists/1ZwdS5xdxEREPySFridCfh, https://api.spotify.com/v1/artists/2jp3Fk52x0HbymU0lNYbSC","1ZwdS5xdxEREPySFridCfh, 2jp3Fk52x0HbymU0lNYbSC","2Pac, Outlawz","https://i.scdn.co/image/ab67616d0000b273d81a092eb373ded457d94eec, https://i.scdn.co/image/ab67616d00001e02d81a092eb373ded457d94eec, https://i.scdn.co/image/ab67616d00004851d81a092eb373ded457d94eec"
"4vd25aCytCegUd1KgYS2yt","Anger","https://mosaic.scdn.co/640/ab67616d00001e021a26654dcff68ca2241da9a5ab67616d00001e0229f643daad228ab538501826ab67616d00001e02df476ef7a07c35447fdb0bacab67616d00001e02f04d0d6f3ac09fd1cd99f4c1","정지운","31onwttehatiuqrdjmo2ynmdj5pi",0.519,0.749,6,-3.318,0,0.0405,0.271,0,0.119,0.29,147.905,"https://api.spotify.com/v1/audio-analysis/0ZUo4YjG4saFnEJhdWp9Bt",4,"0ZUo4YjG4saFnEJhdWp9Bt",199946,"https://api.spotify.com/v1/tracks/0ZUo4YjG4saFnEJhdWp9Bt","Before He Cheats",78,"spotify:track:0ZUo4YjG4saFnEJhdWp9Bt","https://api.spotify.com/v1/albums/0kys2jaKAiDPfNBd4z7LAg","0kys2jaKAiDPfNBd4z7LAg","Some Hearts","spotify:album:0kys2jaKAiDPfNBd4z7LAg","https://open.spotify.com/album/0kys2jaKAiDPfNBd4z7LAg","GBCTA0500197","https://open.spotify.com/track/0ZUo4YjG4saFnEJhdWp9Bt","F#","minor","F# minor","https://api.spotify.com/v1/artists/4xFUf1FHVy696Q1JQZMTRj","4xFUf1FHVy696Q1JQZMTRj","Carrie Underwood","https://i.scdn.co/image/ab67616d0000b273724bd326692d222c5906b0b0, https://i.scdn.co/image/ab67616d00001e02724bd326692d222c5906b0b0, https://i.scdn.co/image/ab67616d00004851724bd326692d222c5906b0b0"
"4vd25aCytCegUd1KgYS2yt","Anger","https://mosaic.scdn.co/640/ab67616d00001e021a26654dcff68ca2241da9a5ab67616d00001e0229f643daad228ab538501826ab67616d00001e02df476ef7a07c35447fdb0bacab67616d00001e02f04d0d6f3ac09fd1cd99f4c1","정지운","31onwttehatiuqrdjmo2ynmdj5pi",0.622,0.876,8,-7.779,1,0.0728,0.00107,1.83e-06,0.292,0.537,142.017,"https://api.spotify.com/v1/audio-analysis/0ZeKQudydO2uQJpfr6gNC8",4,"0ZeKQudydO2uQJpfr6gNC8",200426,"https://api.spotify.com/v1/tracks/0ZeKQudydO2uQJpfr6gNC8","Tainted Love",61,"spotify:track:0ZeKQudydO2uQJpfr6gNC8","https://api.spotify.com/v1/albums/3KExM8E3KgpsS2bHVSJzTc","3KExM8E3KgpsS2bHVSJzTc","The Golden Age Of Grotesque","spotify:album:3KExM8E3KgpsS2bHVSJzTc","https://open.spotify.com/album/3KExM8E3KgpsS2bHVSJzTc","USIR10120378","https://open.spotify.com/track/0ZeKQudydO2uQJpfr6gNC8","G#","major","G# major","https://api.spotify.com/v1/artists/2VYQTNDsvvKN9wmU5W7xpj","2VYQTNDsvvKN9wmU5W7xpj","Marilyn Manson","https://i.scdn.co/image/ab67616d0000b273dcca264f538d015a1c9733a5, https://i.scdn.co/image/ab67616d00001e02dcca264f538d015a1c9733a5, https://i.scdn.co/image/ab67616d00004851dcca264f538d015a1c9733a5"
"4vd25aCytCegUd1KgYS2yt","Anger","https://mosaic.scdn.co/640/ab67616d00001e021a26654dcff68ca2241da9a5ab67616d00001e0229f643daad228ab538501826ab67616d00001e02df476ef7a07c35447fdb0bacab67616d00001e02f04d0d6f3ac09fd1cd99f4c1","정지운","31onwttehatiuqrdjmo2ynmdj5pi",0.377,0.96,7,-4.719,1,0.146,0.000184,0.00274,0.0718,0.386,183.633,"https://api.spotify.com/v1/audio-analysis/0bKZa2zldftYPRrSRscmG2",4,"0bKZa2zldftYPRrSRscmG2",259133,"https://api.spotify.com/v1/tracks/0bKZa2zldftYPRrSRscmG2","Straight Out Of Line",54,"spotify:track:0bKZa2zldftYPRrSRscmG2","https://api.spotify.com/v1/albums/1iNAtkD0iP1wEE8ItzfjZk","1iNAtkD0iP1wEE8ItzfjZk","Faceless","spotify:album:1iNAtkD0iP1wEE8ItzfjZk","https://open.spotify.com/album/1iNAtkD0iP1wEE8ItzfjZk","USUR10300058","https://open.spotify.com/track/0bKZa2zldftYPRrSRscmG2","G","major","G major","https://api.spotify.com/v1/artists/6gZq1Q6bdOxsUPUG1TaFbF","6gZq1Q6bdOxsUPUG1TaFbF","Godsmack","https://i.scdn.co/image/ab67616d0000b273507420bb5f02ce7c5a4d20bc, https://i.scdn.co/image/ab67616d00001e02507420bb5f02ce7c5a4d20bc, https://i.scdn.co/image/ab67616d00004851507420bb5f02ce7c5a4d20bc"
"4vd25aCytCegUd1KgYS2yt","Anger","https://mosaic.scdn.co/640/ab67616d00001e021a26654dcff68ca2241da9a5ab67616d00001e0229f643daad228ab538501826ab67616d00001e02df476ef7a07c35447fdb0bacab67616d00001e02f04d0d6f3ac09fd1cd99f4c1","정지운","31onwttehatiuqrdjmo2ynmdj5pi",0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078,"https://api.spotify.com/v1/audio-analysis/0cqRj7pUJDkTCEsJkx8snD",4,"0cqRj7pUJDkTCEsJkx8snD",219200,"https://api.spotify.com/v1/tracks/0cqRj7pUJDkTCEsJkx8snD","Shake It Off",79,"spotify:track:0cqRj7pUJDkTCEsJkx8snD","https://api.spotify.com/v1/albums/1yGbNOtRIgdIiGHOEBaZWf","1yGbNOtRIgdIiGHOEBaZWf","1989 (Deluxe)","spotify:album:1yGbNOtRIgdIiGHOEBaZWf","https://open.spotify.com/album/1yGbNOtRIgdIiGHOEBaZWf","USCJY1431349","https://open.spotify.com/track/0cqRj7pUJDkTCEsJkx8snD","G","major","G major","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","06HL4z0CvFAxyc27GXpf02","Taylor Swift","https://i.scdn.co/image/ab67616d0000b27352b2a3824413eefe9e33817a, https://i.scdn.co/image/ab67616d00001e0252b2a3824413eefe9e33817a, https://i.scdn.co/image/ab67616d0000485152b2a3824413eefe9e33817a"
